CE LTP,CE OI,CE VOLUME,STRIKE,PE VOLUME,PE OI,PE LTP
-,-,-,12800,16214,1918357,3.2
-,-,-,12850,3155,28020,3.4
-,-,-,12900,5881,246614,3.5
-,-,-,12950,317,18638,3.5
-,-,-,13000,16172,1976782,4.2
-,-,-,13050,910,27567,4.5
-,-,-,13100,13506,373082,5.0
-,-,-,13150,2292,33304,5.2
-,-,-,13200,20710,911953,6.2
-,-,-,13250,6720,77108,6.6
1000.0,873,413,13300,26062,887662,7.8
-,-,-,13350,9080,75110,8.8
-,-,-,13400,42648,979545,10.3
-,-,-,13450,6905,72568,11.5
-,-,-,13500,68120,2002309,13.6
-,-,-,13550,15929,117798,15.6
-,-,-,13600,47368,1157644,17.9
-,-,-,13650,12920,188876,20.4
599.0,7591,178,13700,91357,1070045,23.8
564.9,2731,415,13750,23199,219789,27.2
513.0,18777,193,13800,124365,1544660,31.7
463.4,2071,494,13850,55225,302559,36.8
430.0,15340,539,13900,174387,1382509,42.8
396.9,12301,97,13950,83030,362811,50.2
336.4,100370,22145,14000,501042,3431116,58.5
294.6,7913,383,14050,117396,452515,68.0
256.8,99412,17400,14100,280597,2000961,79.0
220.0,104419,10217,14150,131659,523615,92.2
185.2,1589713,181803,14200,500341,3268446,108.4
153.0,440271,125565,14250,191040,764704,125.8
124.1,2728974,472675,14300,456476,2777643,147.0
98.8,646884,185516,14350,87419,311598,171.0
76.0,2566148,359786,14400,132851,1218914,198.6
57.2,625769,163513,14450,20555,194560,230.0
42.4,3303611,421380,14500,81997,1091745,266.2
31.0,740428,128868,14550,4753,156572,302.0
22.4,2273504,336118,14600,32790,732867,345.6
16.0,1000098,123047,14650,2291,164336,389.6
11.7,2761139,236370,14700,7694,420017,435.0
8.6,803873,57164,14750,119,37801,444.3
6.6,2727469,130062,14800,1725,210708,523.0
5.4,1026393,51780,14850,-,-,-
4.4,2171579,108633,14900,160,67737,622.0
3.8,358542,11938,14950,-,-,-
3.3,3785824,118679,15000,152,401777,696.4
2.9,325808,3471,15050,629,7431,745.6
2.5,1559182,39939,15100,-,-,-
2.3,366792,2417,15150,-,-,-
2.0,1282921,24270,15200,-,-,-
2.0,114199,4142,15250,-,-,-
1.8,1320705,3025,15300,-,-,-
1.8,69570,76,15350,-,-,-
1.7,776879,3475,15400,-,-,-
1.6,21452,421,15450,-,-,-
1.6,2240419,41790,15500,-,-,-
1.6,19599,104,15550,-,-,-
1.6,447084,529,15600,-,-,-
1.6,8251,601,15650,-,-,-
1.4,313362,2745,15700,-,-,-
1.4,8513,246,15750,-,-,-
1.4,185334,105,15800,-,-,-
1.2,1187743,231,16000,-,-,-
1.0,698262,797,16500,-,-,-
1.0,194195,8185,16600,-,-,-
1.0,724616,124,16700,-,-,-
0.8,724725,4223,16750,-,-,-
