TIME,ATM,STRIKE,CE_OPEN,CE_CLOSE,CE_HIGH,CE_LOW,CE_OVERALL_HIGH,CE_OVERALL_HIGH_TIME,CE_OVERALL_LOW,CE_OVERALL_LOW_TIME,PE_OPEN,PE_CLOSE,PE_HIGH,PE_LOW,PE_OVERALL_HIGH,PE_OVERALL_HIGH_TIME,PE_OVERALL_LOW,PE_OVERALL_LOW_TIME
09:15:00,ATM-2100,15100,-,-,-,-,-,-,-,-,1.5,1.0,1.5,0.95,1.5,09:15:00,0.5,15:30:00
09:15:00,ATM-2050,15150,-,-,-,-,-,-,-,-,2.0,1.0,2.95,1.0,2.95,09:15:00,0.45,15:25:00
09:15:00,ATM-2000,15200,-,-,-,-,-,-,-,-,2.2,1.2,2.2,0.9,2.2,09:15:00,0.6,15:20:00
09:15:00,ATM-1950,15250,-,-,-,-,-,-,-,-,1.95,1.2,2.05,0.9,2.05,09:15:00,0.5,15:25:00
09:15:00,ATM-1900,15300,-,-,-,-,-,-,-,-,2.0,1.2,2.0,1.05,2.0,09:15:00,0.65,12:15:00
09:15:00,ATM-1850,15350,-,-,-,-,-,-,-,-,2.4,1.25,2.4,0.95,2.4,09:15:00,0.65,15:25:00
09:15:00,ATM-1800,15400,-,-,-,-,-,-,-,-,2.0,1.25,2.25,1.05,2.25,09:15:00,0.7,15:25:00
09:15:00,ATM-1750,15450,-,-,-,-,-,-,-,-,2.0,1.25,2.0,0.95,2.0,09:15:00,0.7,12:15:00
09:15:00,ATM-1700,15500,-,-,-,-,-,-,-,-,2.0,1.3,2.0,1.25,2.0,09:15:00,0.5,15:30:00
09:15:00,ATM-1650,15550,-,-,-,-,-,-,-,-,3.1,1.45,3.1,1.05,3.1,09:15:00,0.65,14:50:00
09:15:00,ATM-1600,15600,-,-,-,-,-,-,-,-,2.5,1.4,2.5,1.05,2.5,09:15:00,0.75,13:35:00
09:15:00,ATM-1550,15650,-,-,-,-,-,-,-,-,1.5,1.55,1.55,1.25,1.6,09:20:00,0.5,15:25:00
09:15:00,ATM-1500,15700,-,-,-,-,-,-,-,-,2.75,1.5,2.75,0.9,2.75,09:15:00,0.6,15:30:00
09:15:00,ATM-1450,15750,-,-,-,-,-,-,-,-,3.05,1.6,3.05,1.35,3.05,09:15:00,0.5,15:25:00
09:15:00,ATM-1400,15800,-,-,-,-,-,-,-,-,2.2,1.65,3.05,1.5,3.05,09:15:00,0.6,15:25:00
09:15:00,ATM-1350,15850,-,-,-,-,-,-,-,-,1.75,1.7,2.05,1.4,2.05,09:15:00,0.45,15:25:00
09:15:00,ATM-1300,15900,-,-,-,-,-,-,-,-,4.8,1.85,4.85,1.5,4.85,09:15:00,0.65,15:30:00
09:15:00,ATM-1250,15950,-,-,-,-,-,-,-,-,3.9,1.9,3.9,1.75,3.9,09:15:00,0.65,15:05:00
09:15:00,ATM-1200,16000,1194.0,1194.0,1203.9,1194.0,1215.95,09:30:00,1045.0,15:20:00,3.9,2.1,3.9,2.05,3.9,09:15:00,0.7,15:05:00
09:15:00,ATM-1150,16050,-,-,-,-,-,-,-,-,4.9,2.25,4.9,2.0,4.9,09:15:00,0.7,15:00:00
09:15:00,ATM-1100,16100,1083.55,1112.6,1112.6,1083.55,1117.0,09:30:00,942.4,15:20:00,6.8,2.4,6.8,2.35,6.8,09:15:00,0.7,15:05:00
09:15:00,ATM-1050,16150,-,-,-,-,-,-,-,-,6.2,2.6,6.2,1.95,6.2,09:15:00,0.95,15:05:00
09:15:00,ATM-1000,16200,1005.2,1005.15,1005.2,1005.15,1012.0,09:30:00,870.15,15:30:00,7.8,2.85,7.8,2.7,7.8,09:15:00,1.05,15:00:00
09:15:00,ATM-950,16250,954.65,954.65,954.65,954.65,954.65,09:15:00,890.05,10:15:00,6.45,3.15,6.7,2.35,6.7,09:15:00,1.25,14:45:00
09:15:00,ATM-900,16300,-,-,-,-,-,-,-,-,8.0,3.65,8.0,3.4,8.0,09:15:00,1.5,14:50:00
09:15:00,ATM-850,16350,835.0,835.15,835.15,835.0,841.55,10:20:00,704.05,15:20:00,13.7,4.05,13.7,3.85,13.7,09:15:00,1.6,14:50:00
09:15:00,ATM-800,16400,-,-,-,-,-,-,-,-,10.0,4.65,11.75,4.4,11.75,09:15:00,2.1,13:25:00
09:15:00,ATM-750,16450,-,-,-,-,-,-,-,-,17.0,5.6,17.0,4.75,17.0,09:15:00,2.45,14:50:00
09:15:00,ATM-700,16500,697.3,688.45,720.0,681.75,723.45,09:30:00,547.0,15:20:00,14.7,6.7,17.4,5.15,17.4,09:15:00,2.95,14:50:00
09:15:00,ATM-650,16550,655.4,655.4,655.4,655.4,655.4,09:15:00,500.0,15:20:00,21.75,8.1,21.75,6.55,21.75,09:15:00,3.3,14:50:00
